cod_ibge,municipio,pop2016,govpop2015,mortalidade2015,tx_homicidios2015,despesa2016,enem_media2015,enem_desvpad2015,transf2016,ideb_i2015,ideb_f2015
230230,Bela Cruz,32243.0,0.041429149923683135,0.011086474501108648,6.229947356944834e-05,56528332.48,448.3190990990991,91.1078744823701,24015145.27,5.6,5.0
230425,Cruz,23833.0,0.0539341977446467,0.018229166666666668,0.00012670524137348483,54914782.23,459.89203675344606,97.36381174918093,26132403.6,7.5,5.7
230426,Deputado Irapuan Pinheiro,9483.0,0.06575603557814486,0.011235955056179777,0.0009529860228716648,22792050.72,443.94867924528336,80.96776767120411,11090022.39,8.2,5.4
230427,Ererê,7134.0,0.06798986486486487,0.03333333333333333,0.00014076576576576576,19023385.92,415.3914893617018,69.78181267530212,6002587.44,5.7,4.1
230565,Ipaporanga,11499.0,0.058787720671362724,0.0125,,27767385.72,434.9713804713805,76.46381114384708,12363792.97,6.8,4.7
231150,Quixeré,21728.0,0.03815130725013907,0.01875,0.0011125533098460968,48764136.02,454.61976744186086,94.65467699226808,21291884.01,5.9,4.6
231410,Viçosa do Ceará,59487.0,0.04314178065917654,0.007223942208462331,0.0001018295373544686,113775031.93,441.0564524421591,84.0618447058518,56021043.26,5.9,4.6
240030,Afonso Bezerra,11207.0,0.04570612390644528,,0.00017853954650955183,32284958.17,438.10095846645345,93.89699603535252,8849614.37,3.4,2.9
240165,Bodó,2332.0,0.13019508057675994,,,,425.63617021276593,72.56176507108455,3120943.07,3.6,
240170,Bom Jesus,10185.0,0.029068617757563774,,0.0006921099466086612,19264152.81,436.4599264705881,85.753070221381,6087363.82,3.2,3.2
240270,Cerro Corá,11331.0,0.04992048065029157,0.015873015873015872,0.00017670966601873126,27114671.07,440.4770428015564,90.06962702873709,8307024.38,4.3,3.7
240300,Cruzeta,8155.0,0.049485546300832926,0.06315789473684211,0.0002449779519843214,16156582.21,468.52846153846167,95.12993693416864,4259924.64,5.8,4.6
240320,Doutor Severiano,7187.0,0.051781737193763916,0.020833333333333332,,18087111.23,448.4531578947369,80.48439373864716,6961914.96,5.0,4.6
240485,Itajá,7515.0,0.056188815877698806,,0.0006705109293281481,15578698.3,420.9671328671329,76.51119929602214,4330384.81,4.2,3.5
240600,José da Penha,6050.0,0.0525706728384857,0.014492753623188406,,14280367.71,446.65691056910566,83.28196519991178,3798253.29,3.2,3.2
240725,Major Sales,3955.0,0.0576036866359447,,0.0002560163850486431,13967989.96,426.2871212121213,71.41064710457114,3944230.73,4.7,
240790,Monte das Gameleiras,2198.0,0.11086074808472283,0.023809523809523808,0.0004506534474988733,,408.8511111111112,62.969670268609256,2826189.01,3.1,3.1
241110,Ruy Barbosa,3673.0,0.0929853181076672,,,14020185.27,439.773076923077,77.40127297365373,3781294.23,4.8,3.9
241142,Santana do Seridó,2688.0,0.08261682242990655,,,11845593.05,466.06354166666665,96.53226580272928,2399323.7,6.1,
241430,Timbaúba dos Batistas,2428.0,0.11248966087675766,,,11856466.7,445.4707070707071,82.26835661732497,2429892.66,4.7,3.8
250070,São João do Rio do Peixe,17934.0,0.03960064699648614,0.011428571428571429,0.00011155111829996096,34268889.84,432.74297082228094,81.64000226877363,17723391.54,4.0,3.1
250153,Baraúna,4843.0,0.0605296343001261,,0.0004203446826397647,,436.2213903743317,77.84302423282628,5365854.55,5.5,4.4
250290,Brejo dos Santos,6435.0,0.058319039451114926,,0.00046779978169343516,14415616.13,429.76523605150186,80.11864393026269,5996240.66,4.0,3.2
250375,Cajazeirinhas,3181.0,0.07898894154818326,,,11868956.09,433.70438596491226,82.08843643609178,4059145.9,5.2,3.7
250403,Capim,6441.0,0.06465380967435977,,0.0003161555485298767,,417.5921739130434,77.31976909304029,4764304.86,3.5,3.1
250407,Caraúbas,4143.0,0.05321992709599028,,0.00024301336573511544,,418.91171171171163,69.82351875034493,2644183.93,4.7,
250430,Catolé do Rocha,30360.0,0.03336757347824646,0.009876543209876543,0.0005301699857516816,45731410.96,455.14685004436586,96.067458843225,18932159.51,4.4,3.0
250485,Coxixola,1909.0,0.07029598308668078,,,8941986.93,413.8904109589041,66.22717670677942,1430614.68,,
250550,Vista Serrana,3777.0,0.08226495726495726,0.02631578947368421,,13258619.17,439.42625000000015,85.67596851332469,3867601.69,,
250780,Junco do Seridó,7111.0,0.05259427275304791,0.011627906976744186,0.00028352707683583777,14402910.66,421.5219047619048,73.45104020610808,4713505.92,4.1,3.9
251010,Nova Floresta,10644.0,0.04075117370892019,0.0136986301369863,0.00046948356807511736,,436.5865525672374,83.53981609175891,9964034.57,4.6,3.9
251030,Nova Palmeira,4849.0,0.06751672240802675,0.024390243902439025,,,445.0738853503185,75.56831019654422,3572979.25,4.6,4.1
251050,Olivedos,3916.0,0.07190721649484537,,,,454.1505376344088,97.07134252831742,3420273.67,5.0,5.4
251090,Paulista,12263.0,0.03929273084479371,0.007352941176470587,0.00040929927963326783,,454.0209219858155,87.96999380370029,8886087.96,5.3,4.8
251110,Pedra Lavrada,8053.0,0.06664996241543472,0.011764705882352941,0.00037584565271861687,,440.23740458015266,85.82348885482922,7673484.84,5.6,4.3
251150,Pilar,11863.0,0.05778041744442559,0.011695906432748536,0.0004242321398269133,,424.6804281345565,74.49272198031827,10203645.85,3.5,2.8
251203,Poço Dantas,3774.0,0.08073054526204343,0.038461538461538464,,14540495.33,443.18400000000014,84.10934047747345,5978924.35,3.7,4.0
251272,Pedro Régis,6067.0,0.06049055352999669,0.032786885245901634,0.00016572754391779913,14109956.36,416.2637362637362,70.59624559813284,4837685.36,3.9,2.7
251274,Riachão,3570.0,0.10308694420843953,0.016393442622950817,,12369856.97,429.0175257731957,82.80393258866248,3622653.65,4.5,3.2
251360,Santana dos Garrotes,7067.0,0.051033319274567696,0.024390243902439025,0.0002811753128075355,12993174.46,436.2448087431694,97.84565982188327,7158982.48,3.9,
251394,São Domingos do Cariri,2582.0,0.07140070230198986,,,,445.14473684210543,79.00690331819001,1639993.13,,4.4
251396,São Domingos de Pombal,3091.0,0.07415877164325384,0.028571428571428567,,10922100.37,425.1479999999999,69.52204075939768,2489032.17,4.9,4.0
251398,São Francisco,3369.0,0.06340740740740741,0.02127659574468085,,11901365.54,433.2915584415584,75.18076425453027,3469612.62,5.8,4.3
251400,São João do Cariri,4309.0,0.07147814018043026,0.019230769230769232,0.00046264168401572976,14233906.34,429.4818681318683,86.50351604532331,4160341.13,5.1,2.9
251445,São José dos Ramos,5920.0,0.0778534923339012,,0.00017035775127768313,16745384.48,417.32083333333327,73.40504631536855,6468194.89,4.0,3.2
251455,São José de Princesa,3897.0,0.053603034134007584,,0.00025284450063211124,10471642.76,450.1214285714285,91.26218317530035,3307611.13,,
