codigo,latitude,longitude,municipio,uf,bolsapib,rural,analfabetismo,saneamentoruim
1502004,"570,14912","-96,488707",cachoeira do arari,PA,"37,66","64,02","13,64","87,68"
1502103,"499,03942","-249,90347",cameta,PA,"42,21","56,29","10,53","89,85"
1502152,"432,99635","-712,03404",canaa dos carajas,PA,"1,93","22,42","9,93","88,40"
1502202,"765,79219","-127,35306",capanema,PA,"17,50","20,28","13,81","89,53"
1502301,"752,68181","-227,55363",capitao poco,PA,"48,99","58,68","24,08","98,67"
1502400,"681,45639","-141,1305",castanhal,PA,"12,32","11,42","7,81","85,56"
1502509,"464,27891","-3,305016",chaves,PA,"32,06","88,05","27,07","98,91"
1502608,"636,14223","-100,45852",colares,PA,"41,03","67,83","10,36","98,67"
1502707,"494,47783","-907,57886",conceicao do araguaia,PA,"24,87","28,74","14,10","98,39"
1502756,"670,36307","-209,46726",concordia do para,PA,"36,83","46,53","20,42","99,28"
1502764,"306,04773","-936,35417",cumaru do norte,PA,"13,61","74,10","25,20","99,05"
1502772,"484,20736","-690,81188",curionopolis,PA,"41,63","31,49","17,98","98,70"
1502806,"446,43435","-175,53635",curralinho,PA,"60,37","61,71","21,60","98,80"
1502855,"-123,86472","-204,12853",curua,PA,"30,02","52,82","14,43","99,92"
1502905,"682,95303","-78,073643",curuca,PA,"43,75","64,50","10,82","87,02"
1502939,"677,44333","-465,57696",dom eliseu,PA,"21,40","36,64","17,67","93,36"
1502954,"526,32794","-673,45832",eldorado dos carajas,PA,"23,79","47,84","21,29","99,20"
1503002,"-423,68799","-128,34119",faro,PA,"35,27","25,06","10,51","98,71"
1503044,"488,22915","-837,16946",floresta do araguaia,PA,"12,09","50,96","18,76","100,00"
1503077,"770,30667","-241,51479",garrafao do norte,PA,"53,75","65,62","30,50","100,00"
1503093,"554,61548","-447,02276",goianesia do para,PA,"22,21","30,73","22,67","99,31"
1503101,"272,09452","-127,47712",gurupa,PA,"36,14","67,04","24,82","95,42"
1503200,"716,06455","-127,42987",igarape-acu,PA,"42,32","40,91","15,57","98,88"
1503309,"541,6813","-228,90583",igarape-miri,PA,"45,22","54,88","19,06","99,13"
1503408,"676,25672","-162,89031",inhangapi,PA,"32,59","72,39","15,61","87,51"
1503457,"675,86296","-311,9821",ipixuna do para,PA,"19,48","76,17","22,82","83,23"
1503507,"734,38848","-201,73869",irituia,PA,"47,52","79,20","19,65","99,68"
1503606,"-276,46264","-649,60995",itaituba,PA,"20,15","27,50","13,85","97,45"
1503705,"457,97665","-567,05805",itupiranga,PA,"35,81","60,00","23,12","99,41"
1503754,"-364,71908","-824,35242",jacareacanga,PA,"23,57","65,04","27,41","99,78"
1503804,"534,71051","-510,28449",jacunda,PA,"23,43","11,05","15,98","95,17"
1503903,"-246,99505","-290,21669",juruti,PA,"17,15","66,33","8,90","97,76"
1504000,"504,09789","-206,79012",limoeiro do ajuru,PA,"36,73","75,23","14,75","94,90"
1504059,"721,73959","-221,57021",mae do rio,PA,"26,13","17,39","17,60","90,39"
1504109,"708,43468","-90,14088",magalhaes barata,PA,"61,24","53,23","10,63","72,06"
1504208,"441,33068","-624,05813",maraba,PA,"4,28","20,28","11,36","84,31"
1504307,"723,89444","-89,395168",maracana,PA,"45,77","58,92","12,00","78,96"
1504406,"700,21472","-93,657335",marapanim,PA,"40,49","56,01","9,44","99,09"
1504422,"632,11151","-155,2722",marituba,PA,"18,34","1,04","4,74","92,48"
1504455,"89,482506","-349,4753",medicilandia,PA,"19,72","65,02","18,35","93,26"
1504505,"322,25865","-178,01672",melgaco,PA,"60,88","77,82","36,68","98,74"
1504604,"504,24594","-285,7951",mocajuba,PA,"43,07","31,62","10,92","78,83"
1504703,"547,7725","-297,82731",moju,PA,"33,35","64,06","18,75","98,10"
1504802,"-40,717687","-123,80177",monte alegre,PA,"33,50","55,71","14,28","91,84"
1504901,"522,00914","-150,39464",muana,PA,"55,13","57,55","13,02","98,33"
1504950,"789,73586","-266,57728",nova esperanca do piria,PA,"46,18","60,49","26,32","99,72"
1504976,"528,92102","-552,69348",nova ipixuna,PA,"29,22","47,24","21,91","99,90"
1505007,"735,42425","-128,72231",nova timboteua,PA,"37,99","59,62","20,06","91,31"
1505031,"-177,71161","-891,714",novo progresso,PA,"8,65","29,48","8,90","99,41"
1505064,"413,79578","-498,95988",novo repartimento,PA,"29,59","54,96","20,58","97,26"
1505106,"-186,41768","-18,847443",obidos,PA,"29,35","48,38","12,68","99,13"
1505205,"455,78688","-252,6396",oeiras do para,PA,"38,10","60,02","18,43","97,50"
1505304,"-350,65551","28,264183",oriximina,PA,"7,22","36,07","11,47","71,51"
1505403,"763,44631","-166,61829",ourem,PA,"50,49","54,40","20,61","96,18"
1505437,"283,42869","-832,95745",ourilandia do norte,PA,"9,44","27,22","12,56","71,92"
1505486,"374,22169","-408,07368",pacaja,PA,"34,12","65,61","21,53","99,93"
1505494,"623,35884","-658,5552",palestina do para,PA,"38,27","39,18","23,52","99,69"
1505502,"711,08671","-356,38653",paragominas,PA,"9,77","21,78","12,93","92,79"
1505536,"387,84213","-681,92446",parauapebas,PA,"1,37","9,89","8,11","61,50"
1505551,"427,63677","-857,53701",pau darco,PA,"28,57","39,65","22,46","99,82"
1505601,"748,81581","-125,87015",peixe-boi,PA,"57,12","46,92","22,16","81,03"
1505635,"551,67987","-726,02146",picarra,PA,"24,34","71,80","22,19","100,00"
1505650,"-55,598939","-430,14812",placas,PA,"28,76","79,72","17,29","99,91"
1505700,"547,89625","-124,04688",ponta de pedras,PA,"39,76","52,21","14,41","86,99"
1505809,"338,56707","-284,10273",portel,PA,"35,57","52,37","30,10","95,69"
1505908,"161,528","-241,62536",porto de moz,PA,"42,28","57,05","21,46","91,86"
1506005,"37,798166","-234,44009",prainha,PA,"37,84","69,47","17,41","97,09"
1506104,"764,50177","-106,095",primavera,PA,"48,89","37,76","20,88","73,03"
1506112,"778,10149","-91,888609",quatipuru,PA,"41,32","57,19","22,93","83,14"
1506138,"419,06158","-894,27557",redencao,PA,"10,27","7,27","11,62","97,96"
1506161,"453,21795","-813,81455",rio maria,PA,"6,08","23,65","16,04","99,65"
1506187,"614,81642","-501,81768",rondon do para,PA,"17,11","26,12","20,07","96,95"
1506195,"-134,41833","-469,06174",ruropolis,PA,"32,39","61,90","17,78","96,96"
1506203,"739,97217","-76,367855",salinopolis,PA,"24,70","10,77","11,05","70,60"
1506302,"600,07552","-88,969272",salvaterra,PA,"36,68","37,21","9,04","97,69"
1506351,"639,89448","-132,74786",santa barbara do para,PA,"32,85","68,16","8,39","97,26"
1506401,"521,58398","-64,699862",santa cruz do arari,PA,"26,82","51,02","11,54","90,34"
1506500,"653,34429","-151,74381",santa isabel do para,PA,"19,39","27,69","9,27","93,33"
1506559,"787,01606","-184,67831",santa luzia do para,PA,"59,68","55,25","24,89","95,35"
1506583,"405,6558","-956,7075",santa maria das barreiras,PA,"23,66","63,05","18,64","98,95"
1506609,"720,97225","-152,95106",santa maria do para,PA,"33,21","42,12","20,15","96,36"
1506708,"372,24851","-1037,2969",santana do araguaia,PA,"8,48","47,17","14,74","98,73"
1506807,"-121,63452","-305,76434",santarem,PA,"14,67","26,75","7,40","72,73"
1506906,"742,09023","-101,66961",santarem novo,PA,"41,30","70,54","17,20","68,72"
1507003,"647,44385","-121,51069",santo antonio do taua,PA,"30,81","44,25","11,50","93,40"
1507102,"659,07632","-87,986297",sao caetano de odivelas,PA,"36,16","58,81","11,40","96,25"
1507151,"583,75403","-628,28224",sao domingos do araguaia,PA,"30,33","34,05","19,70","95,47"
1507201,"692,95468","-209,52406",sao domingos do capim,PA,"47,34","77,92","21,67","93,39"
1507300,"193,01506","-799,78929",sao felix do xingu,PA,"10,53","50,61","11,59","98,47"
1507409,"695,95643","-134,17124",sao francisco do para,PA,"35,49","66,05","15,91","80,56"
1507458,"581,23569","-687,26117",sao geraldo do araguaia,PA,"30,64","46,89","18,75","82,22"
1507466,"671,79821","-96,798412",sao joao da ponta,PA,"39,15","80,42","8,74","82,45"
1507474,"755,5422","-87,010493",sao joao de pirabas,PA,"45,98","49,21","20,72","93,83"
1507508,"587,67681","-604,94699",sao joao do araguaia,PA,"46,89","80,34","24,76","93,98"
1507607,"710,9317","-172,75111",sao miguel do guama,PA,"35,07","38,17","16,99","96,34"
1507706,"480,72753","-159,02722",sao sebastiao da boa vista,PA,"58,18","56,77","15,71","97,36"
1507755,"489,67621","-758,49056",sapucaia,PA,"9,71","34,12","22,29","97,64"
1507805,"243,57303","-443,92027",senador jose porfirio,PA,"44,87","50,40","22,80","94,70"
1507904,"596,9527","-54,698268",soure,PA,"31,31","8,63","9,42","49,30"
1507953,"585,16307","-322,8889",tailandia,PA,"14,47","25,96","13,52","95,93"
1507961,"684,66854","-111,55611",terra alta,PA,"52,94","57,77","9,63","99,42"
1507979,"-273,50817","-216,05472",terra santa,PA,"39,04","39,02","8,47","88,50"
1508001,"637,45728","-292,92787",tome-acu,PA,"27,01","44,15","16,07","97,69"
1508035,"786,10456","-110,42293",tracuateua,PA,"54,70","73,57","21,56","99,76"
1508050,"-222,13173","-567,61616",trairao,PA,"22,82","66,35","19,77","99,88"
1508084,"288,35021","-754,95022",tucuma,PA,"8,98","20,13","12,21","83,82"
1508100,"464,17934","-427,4936",tucurui,PA,"3,64","4,82","9,44","85,22"
1508126,"722,70937","-423,99455",ulianopolis,PA,"17,11","34,18","15,00","92,08"
1508159,"21,407666","-396,25929",uruara,PA,"24,30","45,46","15,11","99,85"
1508209,"652,40281","-98,809538",vigia,PA,"32,29","32,44","10,03","98,74"
1508308,"854,91727","-145,24207",viseu,PA,"57,47","67,56","22,19","96,17"
1508357,"225,26638","-347,54108",vitoria do xingu,PA,"20,32","60,08","16,09","98,66"
1508407,"482,40169","-767,18097",xinguara,PA,"7,90","22,38","12,29","98,51"
1600055,"192,4521","182,47095",serra do navio,AP,"4,06","41,21","10,91","62,04"
1600105,"380,40796","195,39021",amapa,AP,"12,86","13,76","11,13","95,29"
1600154,"164,31411","128,0566",pedra branca,AP,"10,90","44,64","16,99","96,15"
1600204,"288,67504","269,0714",calcoene,AP,"11,23","18,81","12,97","94,79"
1600212,"391,37382","114,14854",cutias,AP,"9,65","48,00","11,19","99,23"
1600238,"287,26375","106,10942",ferreira gomes,AP,"7,67","28,04","13,56","94,43"
1600253,"372,73227","58,951849",itaubal,AP,"17,48","58,87","14,03","84,49"
1600279,"77,272673","121,2599",laranjal do jari,AP,"12,47","5,10","11,39","90,75"
1600303,"367,25033","61,477422",macapa,AP,"5,32","4,27","6,17","83,67"
1600402,"228,88555","-8,088237",mazagao,AP,"19,12","51,43","21,27","96,83"
1600501,"232,8582","341,74697",oiapoque,AP,"5,42","32,46","9,05","95,32"
